Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Filip Hronek,DET,D,6,1,2,3,-2,18,13,0,1,0,0,0,5,3
Alex Kerfoot,COL,C,12,1,5,6,-2,10,23,0,0,3,0,0,4,6
Kailer Yamamoto,EDM,LW,11,1,1,2,-2,2,12,0,0,1,0,0,10,9
Alex Formenton,OTT,LW,8,1,0,1,-2,6,14,0,0,0,0,0,11,7
Par Lindholm,TOR,C,12,1,2,3,2,4,14,0,0,0,0,0,11,15
Dominik Kahun,CHI,C,13,1,6,7,3,0,21,0,0,1,0,0,1,6
Rasmus Dahlin,BUF,D,12,1,3,4,-1,4,13,1,0,1,0,0,15,7
Evan Bouchard,EDM,D,7,1,0,1,-5,2,10,0,1,0,0,0,6,8
Antti Suomela,SJ,C,12,1,3,4,2,4,27,0,0,0,0,0,3,4
Brooks Orpik,WAS,D,10,1,1,2,2,2,12,0,0,0,0,0,31,10
Justin Williams,CAR,RW,12,1,7,8,1,12,40,0,0,1,0,0,14,1
Matt Cullen,PIT,C,10,1,2,3,-2,0,12,0,0,0,0,0,6,7
Patrick Marleau,TOR,LW,12,1,4,5,2,4,23,1,1,0,0,0,13,10
Tomas Plekanec,MON,C,3,1,0,1,0,0,8,0,0,0,0,0,1,1
Dustin Brown,LA,RW,1,1,0,1,-1,0,3,0,1,0,0,0,7,1
Eric Fehr,MIN,RW,12,1,3,4,-2,14,13,0,0,0,0,1,9,6
Andrew Cogliano,ANH,LW,13,1,3,4,1,0,27,1,1,0,0,0,6,2
Justin Abdelkader,DET,LW,12,1,1,2,-5,6,12,0,0,0,0,0,16,7
Mark Giordano,CGY,D,13,1,10,11,8,10,39,0,0,3,0,0,6,20
Jack Johnson,PIT,D,10,1,1,2,-5,2,17,0,1,0,0,0,33,22
Blake Comeau,DAL,LW,11,1,1,2,-7,2,17,0,0,0,0,0,32,3
Brandon Dubinsky,CLS,C,2,1,1,2,0,0,4,0,0,0,0,0,3,0
Alex Goligoski,ARI,D,11,1,3,4,-5,2,13,0,0,0,0,1,6,18
Chris Butler,STL,D,2,1,0,1,-1,0,4,0,0,0,0,0,4,1
Darren Helm,DET,C,12,1,3,4,-4,2,22,0,0,0,0,1,7,7
Yannick Weber,NSH,D,12,1,1,2,5,2,9,0,0,0,0,0,8,3
Vladimir Sobotka,BUF,C,9,1,0,1,-2,4,9,0,0,0,0,0,10,7
Tyler Myers,WPG,D,13,1,1,2,-2,26,26,0,0,0,0,0,13,18
Drew Doughty,LA,D,11,1,7,8,-4,4,22,0,1,4,0,0,18,18
Zach Bogosian,BUF,D,7,1,1,2,1,19,6,0,0,0,0,0,12,18
Alex Pietrangelo,STL,D,10,1,3,4,-8,4,16,0,0,1,0,0,7,24
Brendan Smith,NYR,D,12,1,2,3,-2,21,10,0,0,0,0,0,12,12
Ryan McDonagh,TB,D,11,1,6,7,5,6,23,0,0,1,0,1,20,25
Lars Eller,WAS,C,10,1,4,5,-6,11,20,0,0,1,0,0,10,3
Mikael Backlund,CGY,C,13,1,5,6,4,4,27,0,0,0,0,0,9,3
Patrik Berglund,BUF,C,11,1,1,2,1,0,16,0,0,0,0,0,14,10
Derick Brassard,PIT,C,8,1,4,5,2,4,13,0,0,1,0,0,13,2
Jeff Petry,MON,D,11,1,8,9,-1,6,17,0,1,3,0,1,23,16
Milan Lucic,EDM,LW,11,1,3,4,-6,16,12,0,1,2,0,0,41,2
Roman Polak,DAL,D,9,1,0,1,5,6,9,0,0,0,0,0,20,11
